"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"68","0.0","0.0","0.0","0.0","0","0","true","CCKAR","0.0","0","0",,"0","0","0","Infinity","false","0","CCKAR","0","0.0"
"137","0.0","0.0","0.0","0.0","0","0","true","ZNF582","0.0","0","0",,"0","0","0","Infinity","false","0","ZNF582","0","0.0"
"144","1.875","3.547813266945636E-4","0.5333333333333333","0.6666666666666666","4","2","false","SLC2A11","17.5","0","4","0","0","0","0","0.9708333333333333","false","0","SLC2A11","6","0.546875"
"146","0.0","0.0","0.0","0.0","0","0","true","ITFG2","0.0","0","0",,"0","0","0","Infinity","false","0","ITFG2","0","0.0"
"136","1.7142857142857142","0.0070643642072213495","0.5833333333333334","0.5","4","2","false","RHOBTB3","9.0","0","4","0","0","0","0","0.9489795918367347","false","0","RHOBTB3","6","0.6428571428571429"
"128","1.5833333333333333","0.023685875316310098","0.6315789473684211","0.37777777777777777","10","2","false","SGCA","10.4","0","10","0","0","0","0","0.9756944444444445","false","0","SGCA","56","0.43333333333333335"
"30","2.0","0.0","0.5","0.0","1","3","false","FKBP10","2.0","0","1","0","0","0","0","0.5","false","0","FKBP10","0","0.0"
"136","1.7857142857142858","0.0015698587127158557","0.5599999999999999","0.6666666666666666","3","2","false","RASGEF1B","10.666666666666666","0","3","0","0","0","0","0.9438775510204082","false","0","RASGEF1B","2","0.7619047619047619"
"121","1.0","1.0","1.0","0.0","3","1","false","KAT5","1.0","0","3","0","0","0","0","1.0","false","0","KAT5","6","0.0"
"58","2.2857142857142856","0.0","0.4375","0.0","1","3","false","PLCZ1","4.0","0","1",,"0","0","0","0.6785714285714286","false","0","PLCZ1","0","0.0"
"5","1.816326530612245","0.0030415197640518005","0.550561797752809","0.4722222222222222","9","2","false","UBA2","19.22222222222222","0","9",,"0","0","0","0.9829931972789115","false","0","UBA2","38","0.3922902494331066"
"136","1.7142857142857142","0.008241758241758242","0.5833333333333334","0.5","4","2","false","AP3B1","7.5","0","4","0","0","0","0","0.9489795918367347","false","0","AP3B1","6","0.5357142857142857"
"128","1.75","0.009782608695652173","0.5714285714285714","0.4","6","2","false","GTF2A1L","11.166666666666666","0","6","0","0","0","0","0.96875","false","0","GTF2A1L","18","0.4652777777777778"
"144","1.8125","0.003521753428201414","0.5517241379310345","0.4666666666666667","6","2","false","SHC2","15.833333333333334","0","6",,"0","0","0","0.9729166666666667","false","0","SHC2","24","0.4947916666666667"
"93","0.0","0.0","0.0","0.0","0","0","true","TMIGD2","0.0","0","0",,"0","0","0","Infinity","false","0","TMIGD2","0","0.0"
"191","1.5","0.0","0.6666666666666666","0.0","3","2","false","AR","2.0","0","2","1","1","1","0","0.75","false","1","AR","0","0.0"
"191","1.0","1.0","1.0","0.0","2","1","false","RBL2","1.0","0","2","0","0","0","0","1.0","false","0","RBL2","2","0.0"
"90","1.8387096774193548","0.0","0.543859649122807","1.0","5","2","false","GTF2H1","22.2","0","5","0","0","0","0","0.9729448491155046","false","0","GTF2H1","0","0.7161290322580646"
"78","1.3333333333333333","0.6666666666666666","0.75","0.0","2","2","false","GPANK1","1.5","0","2","0","0","0","0","0.8333333333333334","false","0","GPANK1","4","0.5"
"15","2.0","0.0","0.5","0.0","1","3","false","NCAPH","3.0","0","1",,"0","0","0","0.6666666666666666","false","0","NCAPH","0","0.0"
"62","1.6521739130434783","0.02230378317334839","0.6052631578947368","0.4642857142857143","8","2","false","KCNK13","10.125","0","8","0","0","0","0","0.9716446124763706","false","0","KCNK13","30","0.44021739130434784"
"16","1.8","6.578947368421052E-4","0.5555555555555556","0.8333333333333334","4","2","false","ADARB2-AS1","12.75","0","4","0",,"0","0","0.96","false","0","ADARB2-AS1","2","0.6375"
