"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"25","3.619047619047619","0.009523809523809525","0.2763157894736842","0.0","2","6","false","THNSL2","3.5","0","2",,"0","0","0","0.5634920634920635","false","0","THNSL2","8","0.625"
,"0.0","0.0","0.0","0.0","0","0","true","TRIM59","0.0","0","0","0","0","0","0","Infinity","false","0","TRIM59","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ZNF319","0.0","0","0","0","0","0","0","Infinity","false","0","ZNF319","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TLX3","0.0","0","0","0","0","0","0","Infinity","false","0","TLX3","0","0.0"
"10","4.4605263157894735","0.035707602339181285","0.224188790560472","0.0","2","8","false","TCTN1","3.0","0","2","0","0","0","0","0.6854066985645934","false","0","TCTN1","382","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","PSMD13","0.0","0","0","0","0","0","0","Infinity","false","0","PSMD13","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PDIA2","0.0","0","0","0","0","0","0","Infinity","false","0","PDIA2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","AKAP17A","0.0","0","0","0","0","0","0","Infinity","false","0","AKAP17A","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","UBE2I","0.0","0","0","0","0","0","0","Infinity","false","0","UBE2I","0","0.0"
"4","1.625","0.03698979591836734","0.6153846153846154","0.3333333333333333","3","2","false","KCNJ12","5.0","0","3","0","0","0","0","0.9107142857142857","false","0","KCNJ12","8","0.6666666666666666"
,"0.0","0.0","0.0","0.0","0","0","true","SHTN1","0.0","0","0","0","0","0","0","Infinity","false","0","SHTN1","0","0.0"
"10","4.118421052631579","0.01348872180451128","0.2428115015974441","0.0","3","8","false","RASSF2","5.666666666666667","0","3","0","0","0","0","0.7165071770334929","false","0","RASSF2","262","0.4666666666666667"
,"0.0","0.0","0.0","0.0","0","0","true","CARD14","0.0","0","0",,"0","0","0","Infinity","false","0","CARD14","0","0.0"
"10","3.9342105263157894","0.018362573099415202","0.25418060200668896","0.0","2","8","false","KCNJ2","3.5","0","2","0","0","0","0","0.7332535885167464","false","0","KCNJ2","312","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","WNT9A","0.0","0","0","0",,"0","0","Infinity","false","0","WNT9A","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RBMX2","0.0","0","0",,"0","0","0","Infinity","false","0","RBMX2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TDGF1","0.0","0","0","0","0","0","0","Infinity","false","0","TDGF1","0","0.0"
