"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4","3.25974025974026","0.07398542111661809","0.30677290836653387","0.2","5","5","false","HSP90AA4P","5.0","0","5","0","0","0","0","0.86707410236822","false","0","HSP90AA4P","996","0.25555555555555554"
"2","4.753623188405797","0.0","0.2103658536585366","0.0","1","8","false","TCEANC","33.0","0","1","0","0","0","0","0.886253842775582","false","0","TCEANC","0","0.0"
"13","1.0","0.0","1.0","0.0","1","1","false","IGKV2D-30","1.0","0","1","0",,"0","0","1.0","false","0","IGKV2D-30","0","0.0"
"15","3.5072463768115942","0.005115089514066496","0.28512396694214875","0.5","4","7","false","DCDC2C","9.5","0","4","0","0","0","0","0.8909892879647133","false","0","DCDC2C","48","0.35185185185185186"
"5","2.161290322580645","0.0","0.4626865671641791","0.0","1","3","false","FRMD6-AS1","51.0","0","1",,"0","0","0","0.9772296015180265","false","0","FRMD6-AS1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ESR1","0.0","0","0","1","1","1","0","Infinity","false","0","ESR1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TAOK3","0.0","0","0","0","0","0","0","Infinity","false","0","TAOK3","0","0.0"
"11","3.9270833333333335","0.007043650793650794","0.2546419098143236","0.0","3","8","false","LRFN3","4.333333333333333","0","3","0","0","0","0","0.9085286458333334","false","0","LRFN3","172","0.37037037037037035"
"21","2.125","0.5833333333333334","0.47058823529411764","0.3","7","4","false","NTRK1","3.2","0","6","1","1","1","0","0.775","false","1","NTRK1","160","0.3333333333333333"
"21","2.875","0.125","0.34782608695652173","0.3333333333333333","3","5","false","IFNLR1","3.3333333333333335","0","3","0","0","0","0","0.625","false","0","IFNLR1","44","0.6"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","RIPK2","32.0","0","1","0",,"0","0","0.927734375","false","0","RIPK2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","FOXRED2","0.0","0","0",,"0","0","0","Infinity","false","0","FOXRED2","0","0.0"
"5","2.0","4.944817213458144E-4","0.5","0.8666666666666667","6","3","false","OR9A1P","28.5","0","6",,"0","0","0","0.9803921568627451","false","0","OR9A1P","32","0.5089285714285714"
"1","4.325","0.0","0.23121387283236994","1.0","4","6","false","PGA4","6.75","0","4","0","0","0","0","0.8488636363636364","false","0","PGA4","0","0.75"
"8","3.59375","0.15029761904761904","0.2782608695652174","0.047619047619047616","7","7","false","CFAP107","3.4285714285714284","0","7","0","0","0","0","0.837890625","false","0","CFAP107","848","0.15966386554621848"
"13","0.0","0.0","0.0","0.0","0","0","true","NKX2-8","0.0","0","0","0","0","0","0","Infinity","false","0","NKX2-8","0","0.0"
"8","4.09375","0.029086553602922654","0.24427480916030533","0.0","4","7","false","C3orf84","6.75","0","4","0","0","0","0","0.806640625","false","0","C3orf84","502","0.575"
,"0.0","0.0","0.0","0.0","0","0","true","PPM1J","0.0","0","0","0","0","0","0","Infinity","false","0","PPM1J","0","0.0"
"2","4.434782608695652","0.0","0.22549019607843138","1.0","2","7","false","NPY4R","24.5","0","2","0","0","0","0","0.8959156785243741","false","0","NPY4R","0","0.6805555555555556"
"11","3.5625","0.0","0.2807017543859649","0.0","1","7","false","CYB5RL","21.0","0","1","0","0","0","0","0.919921875","false","0","CYB5RL","0","0.0"
"2","5.753623188405797","0.0","0.17380352644836272","0.0","1","10","false","TBC1D28","15.0","0","1",,"0","0","0","0.8559508124725516","false","0","TBC1D28","0","0.0"
"16","2.5","0.0","0.4","0.0","1","4","false","CRTC3","12.0","0","1","0","0","0","0","0.875","false","0","CRTC3","0","0.0"
"5","2.0161290322580645","3.021832741557755E-4","0.496","0.9","5","3","false","UAP1","32.6","0","5","0","0","0","0","0.9800759013282733","false","0","UAP1","24","0.5821428571428572"
"11","3.375","0.0043640350877192985","0.2962962962962963","0.0","2","7","false","NCAPG","7.5","0","2","0","0","0","0","0.92578125","false","0","NCAPG","110","0.5416666666666666"
