Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
39,16,0.3000,36.00,53.00,NaN,0.0527799,"PPP2R3C SUV39H1 HMGCS2 KIF27 PDPK1 CEP162 SNX27 PGR DBR1 CPSF3 PLCZ1 PROS1 RASGEF1B NT5DC4 SESN1 ZNF582"
40,9,0.3056,11.00,11.00,NaN,0.0539283,"POLI ZNF280D ZPBP ANKRD20A8P ZNF175 ZNF710 ANKRD20A2P GSK3B PCDHB4"
41,6,0.3333,5.000,14.00,NaN,0.0582138,"PSME3IP1 C5orf52 BGLAP GSX2 FAM110C OOSP4A"
42,9,0.3056,11.00,12.00,NaN,0.0672083,"SCML1 ZNF280D ZPBP ANKRD20A8P ZNF175 ZNF710 ANKRD20A2P GSK3B PCDHB4"
43,14,0.3297,30.00,37.00,NaN,0.0674467,"TYROBP H2BC26 LSM6 MRPS6 RPL34 ZNF853 SMAGP SHTN1 ZSWIM7 ZFAND5 JUN TAF4B H2BC18 TPPP2"
44,13,0.3077,24.00,30.00,NaN,0.0781736,"TYROBP LSM6 MRPS6 ZNF853 SMAGP SHTN1 ZSWIM7 EP400P1 SP2 JUN TAF4B H2BC18 TPPP2"
45,12,0.3030,20.00,57.00,NaN,0.0936878,"ZCCHC8 SOBP ALDH9A1 C6orf118 SOX13 TNFSF11 MIER2 WEE2 STRADA SERPINB10 ZBTB18 ALX4"
46,12,0.3030,20.00,60.00,NaN,0.109308,"TP53 OR56A4 AKAP14 ATXN7L1 LYG1 FRZB HSP90AA2P NKX6-3 TBC1D28 TM2D2 FGF7 IFNK"
47,6,0.3333,5.000,15.00,NaN,0.135638,"C18orf21 C5orf52 BGLAP GSX2 FAM110C OOSP4A"
48,13,0.3077,24.00,38.00,NaN,0.179849,"TYROBP LSM6 TNFAIP3 MRPS6 ZNF853 SMAGP SHTN1 ZSWIM7 ZFAND5 JUN ALDH9A1 TAF4B H2BC18"
49,6,0.4000,6.000,12.00,NaN,0.222423,"ZNF382 NR4A3 ZNF716 MAPK1 RNF157 MYT1"
