uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P06401,Q86YW0,1,0.526829268,0.401633228,0.464231248,0,,,,,,,0,PGR,PLCZ1,1,0,1
P05997,Q9UBT2,1,0.551219512,0.401632929,0.47642622,0,,,,,,,0,COL5A2,UBA2,1,0,1
O00203,P06401,1,0.551219512,0.401632992,0.476426252,0,,,,,,,0,AP3B1,PGR,0,1,1
Q9UNN4,Q9UNN8,1,0.551219512,0.401633151,0.476426331,0,,,,,,,0,GTF2A1L,PROCR,0,1,1
P25940,P98077,1,0.551219512,0.401632832,0.476426172,0,,,,,,,0,COL5A3,SHC2,1,0,1
P08123,Q96BF3,1,0.526829268,0.40168113,0.464255199,0,,,,,,,0,COL1A2,TMIGD2,1,0,1
P10275,Q08999,1,0.551219512,0.401632896,0.476426204,0,,,,,,,0,AR,RBL2,1,0,1
P08123,P32780,1,0.551219512,0.401632855,0.476426183,0,,,,,,,0,COL1A2,GTF2H1,1,0,1
O95872,P08123,1,0.526829268,0.401681307,0.464255288,0,,,,,,,0,GPANK1,COL1A2,0,1,1
P17612,Q15003,1,0.551219512,0.401633138,0.476426325,0,,,,,,,0,PRKACA,NCAPH,1,0,1
P02452,Q9HB14,1,0.551219512,0.401632883,0.476426197,0,,,,,,,0,COL1A1,KCNK13,1,0,1
A8MUL3,P04198,1,0.526829268,0.401633115,0.464231191,0,,,,,,,0,ADARB2-AS1,MYCN,0,1,1
P17612,Q8N468,1,0.551219512,0.401633165,0.476426339,0,,,,,,,0,PRKACA,MFSD4A,1,0,1
Q04206,Q96DH6,1,0.551219512,0.401632963,0.476426237,0,,,,,,,0,RELA,MSI2,1,0,1
