uid,gene,category
Q5TEU4,NDUFAF5,Other_Cellular_Proteins
Q5TGJ6,HDGFL1,Other_Cellular_Proteins
Q5THK1,PRR14L,Other_Cellular_Proteins
Q5U649,C12orf60,Other_Cellular_Proteins
Q5VSG8,MANEAL,Other_Cellular_Proteins
Q5VSR9,SPANXN1,Other_Cellular_Proteins
Q5VSY0,GKAP1,Cellular Enzymes
Q5VTQ0,TTC39B,Other_Cellular_Proteins
Q5VUY2,AADACL4,Membrane_Proteins
Q5VV17,OTUD1,Other_Cellular_Proteins
Q5VWK0,NBPF6,Other_Cellular_Proteins
Q5VWQ0,RSBN1,Other_Cellular_Proteins
Q5VXJ0,LIPK,Secreted_Factors
Q5VYY1,ANKRD22,Other_Cellular_Proteins
Q5XKK7,FAM219B,Other_Cellular_Proteins
Q659A1,ICE2,Other_Cellular_Proteins
Q674X7,KAZN,Other_Cellular_Proteins
Q68DY9,ZNF772,Other_Cellular_Proteins
Q6A163,KRT39,Other_Cellular_Proteins
Q6DN72,FCRL6,Other_Cellular_Proteins
Q6IB77,GLYAT,Other_Cellular_Proteins
Q6IEG0,SNRNP48,Other_Cellular_Proteins
Q6IMI6,SULT1C3,Other_Cellular_Proteins
Q6IPT4,CYB5RL,Other_Cellular_Proteins
Q6N043,ZNF280D,Other_Cellular_Proteins
Q6N069,NAA16,Other_Cellular_Proteins
Q6NSJ5,LRRC8E,Other_Cellular_Proteins
Q6NTE8,MRNIP,Other_Cellular_Proteins
Q6NUS6,TCTN3,Membrane_Proteins
Q6NXT4,SLC30A6,Other_Cellular_Proteins
Q6NXT6,TAPT1,Membrane_Proteins
Q6NZY4,ZCCHC8,Other_Cellular_Proteins
Q6P1K1,SLC48A1,Other_Cellular_Proteins
Q6P1L5,FAM117B,Other_Cellular_Proteins
Q6P1N0,CC2D1A,Other_Cellular_Proteins
Q6P4F7,ARHGAP11A,Other_Cellular_Proteins
Q6P996,PDXDC1,Other_Cellular_Proteins
Q6P9B9,INTS5,Other_Cellular_Proteins
Q6P9G9,ZNF449,Other_Cellular_Proteins
Q6PCB0,VWA1,Membrane_Proteins
Q6PF15,KLHL35,Other_Cellular_Proteins
Q6PJG2,MIDEAS,Other_Cellular_Proteins
Q6QHC5,DEGS2,Other_Cellular_Proteins
Q6QN14,USP17L6P,Other_Cellular_Proteins
Q6T4R5,NHS,Other_Cellular_Proteins
Q6UUV7,CRTC3,Other_Cellular_Proteins
Q6UW02,CYP20A1,Membrane_Proteins
Q6UWI4,SHISA2,Other_Cellular_Proteins
Q6UWW0,LCN15,Secreted_Factors
Q6UX07,DHRS13,Secreted_Factors
Q6UXN2,TREML4,Secreted_Factors
Q6XPS3,TPTE2,Cellular Enzymes
Q6YFQ2,COX6B2,Other_Cellular_Proteins
Q6ZMJ4,IL34,Secreted_Factors
Q6ZNL6,FGD5,Other_Cellular_Proteins
Q6ZRV2,FAM83H,Other_Cellular_Proteins
Q6ZT21,TMPPE,Membrane_Proteins
Q6ZTU2,EP400P1,Other_Cellular_Proteins
Q6ZVX7,NCCRP1,Other_Cellular_Proteins
Q70IA6,MOB2,Cellular Enzymes
Q71RH2,TLCD3B,Other_Cellular_Proteins
Q71UM5,RPS27L,Other_Cellular_Proteins
Q76G19,PDZD4,Other_Cellular_Proteins
Q76L83,ASXL2,Other_Cellular_Proteins
Q7L0X2,ERICH6,Other_Cellular_Proteins
Q7L775,EPM2AIP1,Other_Cellular_Proteins
Q7L804,RAB11FIP2,Other_Cellular_Proteins
Q7M4L6,SHF,Other_Cellular_Proteins
Q7RTN6,STRADA,Cellular Enzymes
Q7Z3D6,DGLUCY,Other_Cellular_Proteins
Q7Z418,KCNK18,Other_Cellular_Proteins
Q7Z4V0,ZNF438,Other_Cellular_Proteins
Q7Z5L3,C1QL2,Secreted_Factors
Q7Z602,GPR141,Other_Cellular_Proteins
Q7Z6I6,ARHGAP30,Other_Cellular_Proteins
Q7Z6K5,ARPIN,Other_Cellular_Proteins
Q7Z7B0,FILIP1,Other_Cellular_Proteins
Q7Z7G1,CLNK,Other_Cellular_Proteins
Q86SQ7,SDCCAG8,Other_Cellular_Proteins
