uidA,uidB
P04637,P07202
Q96KN3,Q9Y4K3
P20908,Q6EMK4
P07333,Q9P265
P10415,P36575
P12643,Q16537
O14495,P23219
Q04206,Q96KK5
P35354,Q9BYQ6
P12931,Q8TEA7
P34972,P52758
P02818,Q9UJT9
P01106,Q9BRR0
P02751,Q8NH03
P10275,Q6NW40
A0AV96,P05412
P43235,P54219
P28482,P61313
P29474,Q99814
P35251,Q16539
O95755,P12643
P08123,Q9NVW2
A0A075B6N4,P10275
P10275,Q8WYA6
P02818,Q99795
P43235,Q6P2M8
P03372,Q6NUM9
P01106,P35680
P20908,Q86VY4
P07333,Q9NQ25
O43147,P31749
P02452,P21854
P49841,Q8N9C0
P23219,Q96A19
Q16539,Q6ZSZ6
O43187,P01106
P18075,Q9ULM2
P20908,Q8N112
P23219,Q9NZQ3
D0EPY3,P34972
P19838,P36888
P0DKB5,P12524
Q9NWQ8,Q9Y4K3
P24530,Q16539
O95235,P18075
P49841,Q6UXU4
P12643,Q02386
O75935,P10451
P18075,Q9Y3T6
P42574,Q9NS39
P17612,P31323
A6NL82,P10415
C9J3V5,P07333
P06401,Q86VQ6
O75175,P06401
P04731,Q16539
P06401,Q9Y3Y4
O14788,Q9UQK1
O14788,Q8WVD5
P05997,Q8NG92
P10415,Q14934
P01258,Q9H222
P02818,Q9BY50
P01116,P05412
O75448,P08123
O75038,P04198
P17612,Q15034
O60755,P10415
P00387,Q9Y4K3
P04629,Q9NXE4
P08236,P12931
P35354,Q4G0I0
P42574,Q9P2K6
A5YM69,P04198
P19022,Q9Y4K3
P29474,Q9HCS4
P02818,Q5VU69
A0A8V8TMC4,P02818
P35354,Q13099
O75762,P29474
P18075,Q9UJC5
O15111,P02452
P12931,P19075
P29474,Q7Z404
P31749,Q8N2R8
P04637,P48060
P03372,Q5TEU4
Q04206,Q8N878
P07204,P43235
O14788,Q8WV60
P07333,Q8NE71
P23219,Q9GZZ1
P12524,P49910
P23219,Q9Y478
P11277,P18075
P02751,Q7RTY3
P04198,P56181
P02452,Q5KSL6
O14788,P00915
P07333,Q5T8A7
P17612,Q86WA9
P32927,Q9UNN8
P08123,Q6NVY1
P41180,Q9NXD2
P10415,Q16630
C9J069,P12524
A0A0J9YX57,P43235
P10451,Q13829
P05997,P43694
O14788,Q6P050
P01258,Q9BQD1
P19838,Q969P5
O95990,P07333
A2AJT9,P10275
P04629,Q6P0N0
P25940,Q9UJA2
P02751,P61968
P05412,Q9NR22
P49841,Q3SY46
A6NCE7,P20908
P20908,Q05996
P14174,P18075
P41180,Q8IWA5
P12931,P15248
P41180,Q5SGD2
P20908,P23443
P01258,Q96K78
P34972,Q8N8Q9
A6PVC2,P05412
P31749,Q92564
P10275,Q16473
P07339,P12643
P01106,Q9BTE3
P25940,Q8TBK2
O94760,P06401
P04629,Q6PF06
P17612,P55160
P05412,Q02363
P25940,Q15853
P02818,Q9H0P0
P23219,Q9Y251
P19838,Q14562
O60269,P02461
P02452,Q6UWQ5
P35354,Q8TC21
P0C7V7,P10275
O14788,Q9P2F9
P29474,Q8TCA0
P28482,P61550
P17612,Q96MN2
P02649,P04004
P32241,Q16539
P43235,Q8WVV4
O14788,Q9NZT1
P10275,Q9Y697
P05997,Q17RB8
P00748,P01258
P0C091,P17612
P07333,Q8NEA4
P04004,Q96RN1
P10451,Q9BZQ8
P08123,Q8NEZ4
P08123,Q9NZM3
P25940,Q8N2R0
P35354,Q9Y421
P28482,P79522
P10415,Q03938
P11142,P19838
P01258,P04921
Q16539,Q86Y79
P19838,Q9H7F0
P28827,P49841
P10415,Q8NAG6
P08123,P0C7M6
P08123,Q9UPA5
O95633,P12931
O60248,P05412
P04198,Q9BY76
P43235,Q8ND71
P01570,P35354
A1L0T0,P34972
P10451,Q96RI8
P18075,Q9Y3A2
O14788,Q9H251
P17612,Q8NGD0
P19838,Q8IVF7
P10415,Q6A162
P04637,Q99742
P10275,Q8N7R7
P19838,Q12829
P12524,Q9NQ76
A0A0C4DH42,P25940
P12524,P47888
P25089,P49841
P01106,P10809
P25940,Q9P127
P0DMB2,P12524
A8MW92,P17612
P14618,Q04206
P08123,Q53H82
O60669,P12931
P12524,Q96P44
P49913,Q9Y4K3
P08123,Q8WXI7
P04637,Q99442
P02818,Q5XX13
P12524,Q9Y547
Q3KQU3,Q9UNN8
O14788,P55145
P42574,Q8TD31
P12643,Q12926
P10451,Q86V85
A6NFC9,P43235
P43235,Q8TBE0
P42574,Q5T5N4
O15344,P08123
P49841,Q8N2U0
P42574,Q96GR2
P04198,P42338
P28482,Q96FX7
P10275,P35626
P42574,Q6UXN8
P23219,Q14566
A2RU30,P42574
O95013,P23219
P02452,Q9P253
P04198,Q6UN15
P02818,Q16822
P08397,P35354
P06401,Q8IXZ3
P0DJD7,Q04206
P28482,Q9Y520
P12643,P50993
P02461,Q8NEF3
P17612,Q96NT1
P10147,Q9BQB4
P04198,Q69383
P10275,P98175
A6NKU9,Q9UNN8
P20908,Q8IUK8
P12643,Q2NL98
P07333,P41226
P19838,P61019
P02751,Q9NQ87
Q15415,Q9BQB4
P04004,Q93070
P23219,Q63HK3
P07333,Q99683
P21217,Q9UNN8
P19838,P51808
P02818,Q8IZT9
P02818,Q13555
P01106,Q96N87
Q8NG11,Q9BQB4
P04629,Q8NFH5
A1L3X4,P10415
P19838,Q8TDN2
P35354,Q7Z5A4
P02452,Q6P1S2
P08620,P18075
P03372,P67936
P13378,P23219
P40425,Q9Y4K3
P55010,Q9Y4K3
P0C0E4,P12643
P10415,P31150
Q16539,Q5W111
P23219,Q8N9Y4
Q15633,Q9BQB4
P05412,P10301
P07333,Q9BVI0
P02461,Q5MNV8
P42574,Q6NSX1
P10451,Q3LI62
P12643,Q9NVS9
P19838,Q8WWB7
A6NJ78,P01258
P41180,Q8IZL9
Q01892,Q9Y4K3
P19838,Q96EP9
P10451,Q12982
P20908,Q8TAD4
P02751,P31941
P28062,P49841
P02461,Q96PG2
P01258,P02729
P05423,P34972
P43235,Q86UY5
P34972,Q9H8U3
Q9BQB4,Q9NSA2
P23219,Q17RC7
P29474,Q96DB2
P12643,Q9H115
O43566,P01106
P41180,Q9HAU6
P02818,P84996
P04629,Q9H3N8
P0CAT3,Q9Y4K3
P23219,Q7LC44
P42574,P57678
P10451,Q9UK28
P19838,Q3MIW9
P05412,P51884
P06401,P13727
A0A1B0GV85,Q04206
P05997,P0C7N5
P29474,Q9H9A7
P04637,Q9H112
A1A519,P08123
P17612,Q99990
P05412,Q7Z410
P08910,P29474
P02452,P0CB47
P35354,Q9Y2D9
P03372,Q9Y2N7
Q6VUC0,Q9UNN8
O14788,Q09019
O75888,P28482
Q9BQB4,Q9HA92
P10451,Q9HBH9
P03372,Q96C36
P61571,Q16539
P20908,Q9Y4A5
P23219,Q8NG80
P06401,Q9BZC1
P04004,Q8NCL8
P01258,P29034
P16383,P31749
P34972,Q14154
P05412,P54315
Q16539,Q8TDW0
P03372,Q86YJ7
P03372,Q8WYP3
O00222,P34972
P18075,Q9Y6I0
P05997,Q6UXQ8
P10451,Q6ZMV8
P10415,Q9Y2Q1
P10412,P20908
O75027,P05997
P34972,P47736
O60487,P01106
C9JLW8,P02461
O00472,P06401
P12931,Q6P387
P02751,P63098
O14788,Q9BUL9
A6NMB1,P02452
P04198,Q8N5I9
P04629,P33151
P04629,Q53S99
P01106,Q9NR48
P06401,Q8IVE0
P04629,P48065
Q8TDY8,Q9UNN8
Q16539,Q96C12
P29474,Q9Y577
P04637,Q13069
O14683,P35354
P12524,P46059
P18075,Q9UGK8
Q04206,Q14152
P01258,P51170
P14625,Q9BQB4
P10415,P30101
P04004,Q8N4M7
P01106,Q9P219
P23219,Q5TAP6
Q04206,Q6PJI9
O75916,P06401
P21549,Q9Y4K3
O95264,P25940
P07333,Q8NH00
P07333,P0DW11
P42574,P82675
P02461,Q15286
P02461,Q8WUU8
P04004,Q9Y2V3
O14558,Q9UNN8
P02818,Q9Y5F1
Q8N8J6,Q9UNN8
P20908,Q8TC76
P04629,Q01718
P03372,Q8TA86
O75157,P05412
P34972,P41182
P12643,P27449
P01106,P53667
P04198,Q8IXJ6
P04198,Q8IXT5
P42574,Q7M4L6
P25940,Q17RR3
E5RG02,O14788
O95503,P04004
O75334,P08123
P08123,Q6ZUS6
P78537,Q04206
P03372,Q15726
P55064,Q9Y4K3
P01036,P49841
P17612,P68036
P23219,P30520
P34972,Q17R89
P43235,Q93052
P23219,Q9BV87
Q9BZ19,Q9UNN8
P12524,Q75MW2
P12643,Q9H0K4
P18075,Q5JQC9
Q04206,Q96LJ8
P34972,Q6ZMR3
P20908,Q9NX52
P07333,Q9NPF5
P04637,Q16520
P04198,Q3ZCU0
C9JBD0,P35354
P41180,Q15370
P01106,Q9ULE3
P31749,Q9H9K5
P04004,Q96S95
A6NLU5,P04637
P02452,P51857
P04198,Q15858
P78357,Q9UNN8
P04637,Q8WV83
P12524,Q13433
P25940,Q9UK11
Q9BYE7,Q9UNN8
P04629,Q68J44
P03372,Q9Y5C1
P12931,Q9UBP6
O14603,P04629
P49841,Q9P0K1
P10415,Q7Z402
P02751,Q8NF99
P01906,P35354
P41180,Q7L3B6
P19838,Q13232
O43930,P18075
Q04206,Q8NHZ7
P10415,Q8IUZ5
A6NDI0,P12931
P04198,Q15391
Q6ZSG2,Q9Y4K3
P02461,Q6NT89
A0A1B0GUW6,P03372
A6NF89,P20908
P01258,P52209
O15428,P04004
P12643,P14598
P10275,Q16655
P17612,Q86SG2
P33261,P49841
P28482,Q13277
Q14565,Q9UNN8
P10275,Q6ZMT4
P49841,Q15111
P04004,Q9UKG9
Q9NXC2,Q9Y4K3
P23219,Q9Y543
P03372,Q9UQQ1
P23219,Q9HA77
P04198,Q13145
P15172,P42574
P08123,Q5DJT8
O95671,P05997
P01258,Q86SF2
O43246,P03372
P18074,Q9BQB4
Q9H173,Q9Y4K3
P04004,Q96J01
P08123,Q9NYA1
P02461,Q9Y3C0
P02452,Q14847
Q9Y4K3,Q9Y6A9
A0A075B6N3,P20908
P41180,Q9C0B7
P18075,Q5M775
P02751,P23434
Q68CZ6,Q9Y4K3
P18075,Q9BV20
P04198,Q02127
Q86YV9,Q9BQB4
P28482,P39905
P23975,P31749
P07333,P0C617
P10415,Q01814
P01857,Q9BQB4
Q8NBD8,Q9BQB4
P12524,Q9BVW6
P06401,P0CJ87
P04629,Q96K31
O43300,P12524
P49441,Q04206
P05997,Q7Z2R9
P12931,P84101
O75264,P04629
P29474,Q5THR3
P28482,P50549
P25940,Q9UI32
P0DW11,P12524
Q04206,Q6P9H4
P12524,Q8NDX5
P01563,P20908
P19838,P31995
P12524,P83859
P17612,Q9BRX9
P23219,Q15785
P08123,Q9BTP7
P01258,Q9NRZ5
Q6QHK4,Q9Y4K3
P04843,P18075
P49841,Q8NGQ6
P19838,P20962
P12643,Q9NSE4
O95070,P01106
Q04206,Q9UJW2
O75908,P04637
Q16539,Q9NU39
O75027,P10451
P31749,Q96C00
Q9NYM9,Q9UNN8
P25940,Q6NSI8
P41180,Q9BXN2
P07333,P12882
P19838,Q9P1A2
O00204,P34972
P43235,Q8IUH3
P10451,Q5TCY1
P20908,P42166
P84101,Q04206
P02818,Q9Y279
